Notes,Distance (miles) From Start
Begin at Mandy's 24 hour diner.  Start east  on 15th Ave.  [05:00-06:00],0.01
Orchard Point Park on left open dawn to dusk,14.02
Triangle Lake wayside,36.28
Deadwood Market [07:21-10:20],49.59
Mapleton,62.76
Florence,77.2
Info control,87.92
Control: Reedsport,99.51
"Smith River Store, open 9 till sometime. Some food and drink.  Top up bottles!",116.15
Oxbow Summit.  Elev 1276ft.  Sketchy descent.,150.48
Staffed control at directional sign,156.8
Left on Wolf Creek Rd,158.47
elev 1340,161.08
elev 1061,167.71
Jackson's mini-mart on right,178.54
End at Bier Stein,186.97
