Notes,Km,time,local_time,accumulated_distance
Start of route,0,2026-05-16T12:32:46+00:00,2026-05-16 05:32:46,0.020729371875295367
Summit (1038 ft),47.72,2026-05-16T15:15:00+00:00,2026-05-16 08:15:00,47.741844485360005
Deadwood Market [07:21-10:20],79.8,2026-05-16T16:45:01+00:00,2026-05-16 09:45:01,79.826070815784
Florence control. 7-11 at turn;   Bikes 101 shop at 1537 8th St open 10-2.  [08:39-13:16],124.19,2026-05-16T18:52:44+00:00,2026-05-16 11:52:44,124.38699605396047
Info control,141.49,2026-05-16T20:16:12+00:00,2026-05-16 13:16:12,141.5053885958788
Control: Reedsport,160.14,2026-05-16T21:14:47+00:00,2026-05-16 14:14:47,160.32073401148014
"Smith River Store, open 9 till sometime. Some food and drink.  Top up bottles!",186.93,2026-05-16T22:49:43+00:00,2026-05-16 15:49:43,186.94120272939037
Oxbow Summit.  Elev 1276ft.  Sketchy descent.,242.17,2026-05-17T02:17:14+00:00,2026-05-16 19:17:14,242.20408813480805
Staffed control at directional sign,252.34,2026-05-17T02:46:38+00:00,2026-05-16 19:46:38,252.40334038135873
elev 1340,259.23,2026-05-17T03:44:12+00:00,2026-05-16 20:44:12,259.23930050509017
elev 1061,269.9,2026-05-17T04:22:04+00:00,2026-05-16 21:22:04,269.9106465542514
Finish control: Bier Stein,300.91,2026-05-17T05:45:56+00:00,2026-05-16 22:45:56,300.944223664752
