Notes,Distance (miles) From Start,Km,time,local_time,accumulated_distance
Begin at Mandy's 24 hour diner.  Start east  on 15th Ave.  [05:00-06:00],0.01,0.02,2026-05-16T12:32:46+00:00,5:32 AM,0.02
Orchard Point Park on left open dawn to dusk,14.02,22.56,2026-05-16T13:52:23+00:00,6:52 AM,22.66
Triangle Lake wayside,36.28,58.39,2026-05-16T15:46:29+00:00,8:46 AM,58.41
Deadwood Market [07:21-10:20],49.59,79.81,2026-05-16T16:45:01+00:00,9:45 AM,79.83
Mapleton,62.76,101.00,2026-05-16T17:56:43+00:00,10:56 AM,101.05
Florence,77.2,124.24,2026-05-16T18:52:44+00:00,11:52 AM,124.39
Info control,87.92,141.49,2026-05-16T20:16:12+00:00,1:16 PM,141.51
Control: Reedsport,99.51,160.15,2026-05-16T21:14:47+00:00,2:14 PM,160.32
"Smith River Store, open 9 till sometime. Some food and drink.  Top up bottles!",116.15,186.93,2026-05-16T22:49:43+00:00,3:49 PM,186.94
Oxbow Summit.  Elev 1276ft.  Sketchy descent.,150.48,242.17,2026-05-17T02:17:14+00:00,7:17 PM,242.20
Staffed control at directional sign,156.8,252.35,2026-05-17T02:46:38+00:00,7:46 PM,252.40
Left on Wolf Creek Rd,158.47,255.03,2026-05-17T03:18:20+00:00,8:18 PM,255.06
elev 1340,161.08,259.23,2026-05-17T03:44:12+00:00,8:44 PM,259.24
elev 1061,167.71,269.90,2026-05-17T04:22:04+00:00,9:22 PM,269.91
Jackson's mini-mart on right,178.54,287.33,2026-05-17T05:06:22+00:00,10:06 PM,287.38
End at Bier Stein,186.97,300.90,2026-05-17T05:45:56+00:00,10:45 PM,300.94
